Country or Area,City,Year,Record Type,Value
Åland Islands,MARIEHAMN,2000,Census - de jure - complete tabulation,10488
Åland Islands,MARIEHAMN,2007,Estimate - de jure,10863
Åland Islands,MARIEHAMN,2008,Estimate - de jure,10954
Åland Islands,MARIEHAMN,2009,Estimate - de jure,11064
Åland Islands,MARIEHAMN,2010,Estimate - de jure,11156.5
Åland Islands,MARIEHAMN,2011,Estimate - de jure,11226.5
Åland Islands,MARIEHAMN,2012,Estimate - de jure,11304.5
Åland Islands,MARIEHAMN,2013,Estimate - de jure,11370
Albania,Durrës,2011,Census - de jure - complete tabulation,113249
Albania,TIRANA,2003,Estimate - de facto,392863
Albania,TIRANA,2011,Census - de jure - complete tabulation,418495
Algeria,ALGIERS (EL DJAZAIR),1998,Census - de jure - complete tabulation,1569897
Algeria,Annaba,1998,Census - de jure - complete tabulation,352523
Algeria,Batna,1998,Census - de jure - complete tabulation,246800
Algeria,Béchar,1998,Census - de jure - complete tabulation,134523
Algeria,Bejaïa,1998,Census - de jure - complete tabulation,144405
Algeria,Beskra,1998,Census - de jure - complete tabulation,177060
Algeria,Bordj Bou Arreridj,1998,Census - de jure - complete tabulation,129004
Algeria,Bordj el Kiffan,1998,Census - de jure - complete tabulation,103690
Algeria,Ech Cheliff (El Asnam),1998,Census - de jure - complete tabulation,174314
Algeria,El Boulaïda (Blida),1998,Census - de jure - complete tabulation,229788
Algeria,El Djelfa,1998,Census - de jure - complete tabulation,158679
Algeria,El Eulma,1998,Census - de jure - complete tabulation,104758
Algeria,El Wad,1998,Census - de jure - complete tabulation,105151
Algeria,Ghardaïa,1998,Census - de jure - complete tabulation,127959
Algeria,Ghilizane,1998,Census - de jure - complete tabulation,104644
Algeria,Guelma,1998,Census - de jure - complete tabulation,108682
Algeria,Jijel,1998,Census - de jure - complete tabulation,106306
Algeria,Lemdiyya (Medea),1998,Census - de jure - complete tabulation,128427
Algeria,M'Sila,1998,Census - de jure - complete tabulation,102151
Algeria,Mestghanem (Mostaganem),1998,Census - de jure - complete tabulation,125911
Algeria,Qacentina (Constantine),1998,Census - de jure - complete tabulation,465021
Algeria,Saïda,1998,Census - de jure - complete tabulation,113533
Algeria,Sidi-bel-Abbès,1998,Census - de jure - complete tabulation,183931
Algeria,Skikda,1998,Census - de jure - complete tabulation,153531
Algeria,Souq Ahras,1998,Census - de jure - complete tabulation,114512
